神经元覆盖率,K-多节神经元覆盖率,神经元边界覆盖率,强神经元激活覆盖率,top-k神经元覆盖率
0.25,0.3454032258064516,0.004032258064516129,0.008064516129032258,0.20967741935483872
0.25,0.3454032258064516,0.004032258064516129,0.008064516129032258,0.20967741935483872
0.25,0.3454032258064516,0.004032258064516129,0.008064516129032258,0.20967741935483872
0.25,0.3454032258064516,0.004032258064516129,0.008064516129032258,0.20967741935483872
0.25,0.3454032258064516,0.004032258064516129,0.008064516129032258,0.20967741935483872
0.25,0.3454032258064516,0.004032258064516129,0.008064516129032258,0.20967741935483872
0.25,0.3454032258064516,0.004032258064516129,0.008064516129032258,0.20967741935483872
0.25,0.3454032258064516,0.004032258064516129,0.008064516129032258,0.20967741935483872
0.25,0.3454032258064516,0.004032258064516129,0.008064516129032258,0.20967741935483872
0.25,0.3454032258064516,0.004032258064516129,0.008064516129032258,0.20967741935483872
