神经元覆盖率,K-多节神经元覆盖率,神经元边界覆盖率,强神经元激活覆盖率,top-k神经元覆盖率
0.6370967741935484,0.2964516129032258,0.0,0.0,0.4435483870967742
0.6370967741935484,0.2964516129032258,0.0,0.0,0.4435483870967742
0.6370967741935484,0.2964516129032258,0.0,0.0,0.4435483870967742
0.6370967741935484,0.2964516129032258,0.0,0.0,0.4435483870967742
0.6370967741935484,0.2964516129032258,0.0,0.0,0.4435483870967742
0.6370967741935484,0.2964516129032258,0.0,0.0,0.4435483870967742
0.6370967741935484,0.2964516129032258,0.0,0.0,0.4435483870967742
0.6370967741935484,0.2964516129032258,0.0,0.0,0.4435483870967742
0.6370967741935484,0.2964516129032258,0.0,0.0,0.4435483870967742
0.6370967741935484,0.2964516129032258,0.0,0.0,0.4435483870967742
