神经元覆盖率,K-多节神经元覆盖率,神经元边界覆盖率,强神经元激活覆盖率,top-k神经元覆盖率
0.31451612903225806,0.2632258064516129,0.0,0.0,0.1935483870967742
0.31451612903225806,0.2632258064516129,0.0,0.0,0.1935483870967742
0.31451612903225806,0.2632258064516129,0.0,0.0,0.1935483870967742
0.31451612903225806,0.2632258064516129,0.0,0.0,0.1935483870967742
0.31451612903225806,0.2632258064516129,0.0,0.0,0.1935483870967742
0.31451612903225806,0.2632258064516129,0.0,0.0,0.1935483870967742
0.31451612903225806,0.2632258064516129,0.0,0.0,0.1935483870967742
0.31451612903225806,0.2632258064516129,0.0,0.0,0.1935483870967742
0.31451612903225806,0.2632258064516129,0.0,0.0,0.1935483870967742
0.31451612903225806,0.2632258064516129,0.0,0.0,0.1935483870967742
