神经元覆盖率,K-多节神经元覆盖率,神经元边界覆盖率,强神经元激活覆盖率,top-k神经元覆盖率
0.6854838709677419,0.435,0.04435483870967742,0.08870967741935484,0.5080645161290323
0.6854838709677419,0.435,0.04435483870967742,0.08870967741935484,0.5080645161290323
0.6854838709677419,0.435,0.04435483870967742,0.08870967741935484,0.5080645161290323
0.6854838709677419,0.435,0.04435483870967742,0.08870967741935484,0.5080645161290323
0.6854838709677419,0.435,0.04435483870967742,0.08870967741935484,0.5080645161290323
0.6854838709677419,0.435,0.04435483870967742,0.08870967741935484,0.5080645161290323
0.6854838709677419,0.435,0.04435483870967742,0.08870967741935484,0.5080645161290323
0.6854838709677419,0.435,0.04435483870967742,0.08870967741935484,0.5080645161290323
0.6854838709677419,0.435,0.04435483870967742,0.08870967741935484,0.5080645161290323
0.6854838709677419,0.435,0.04435483870967742,0.08870967741935484,0.5080645161290323
