神经元覆盖率,K-多节神经元覆盖率,神经元边界覆盖率,强神经元激活覆盖率,top-k神经元覆盖率
0.6612903225806451,0.5012903225806452,0.09274193548387097,0.18548387096774194,0.5
0.6612903225806451,0.5012903225806452,0.09274193548387097,0.18548387096774194,0.5
0.6612903225806451,0.5012903225806452,0.09274193548387097,0.18548387096774194,0.5
0.6612903225806451,0.5012903225806452,0.09274193548387097,0.18548387096774194,0.5
0.6612903225806451,0.5012903225806452,0.09274193548387097,0.18548387096774194,0.5
0.6612903225806451,0.5012903225806452,0.09274193548387097,0.18548387096774194,0.5
0.6612903225806451,0.5012903225806452,0.09274193548387097,0.18548387096774194,0.5
0.6612903225806451,0.5012903225806452,0.09274193548387097,0.18548387096774194,0.5
0.6612903225806451,0.5012903225806452,0.09274193548387097,0.18548387096774194,0.5
0.6612903225806451,0.5012903225806452,0.09274193548387097,0.18548387096774194,0.5
